Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Nakayama, Yoshiharu; Awai, Kazuo; Funama, Yoshinori; Hatemura, Masahiro; Imuta, Masanori; Nakaura, Takeshi; Ryu, Da; Morishita, Shoji; Sultana, Shamima; Sato, Natsuko; ","Abdominal CT with low tube voltage: preliminary observations about radiation dose, contrast enhancement, image quality, and noise",Radiology,237,3,945-951,2005,Radiological Society of North America
"Nakayama, Yoshiharu; Awai, Kazuo; Funama, Yoshinori; Liu, Duo; Nakaura, Takeshi; Tamura, Yoshitaka; Yamashita, Yasuyuki; ",Lower tube voltage reduces contrast material and radiation doses on 16-MDCT aortography,American Journal of Roentgenology,187,5,W490-W497,2006,American Roentgen Ray Society
"Namimoto, Tomohiro; Awai, Kazuo; Nakaura, Takeshi; Yanaga, Yumi; Hirai, Toshinori; Yamashita, Yasuyuki; ",Role of diffusion-weighted imaging in the diagnosis of gynecological diseases,European radiology,19,3,745-760,2009,Springer-Verlag Berlin/Heidelberg
"Oda, Seitaro; Awai, Kazuo; Liu, Duo; Nakaura, Takeshi; Yanaga, Yumi; Nomori, Hiroaki; Yamashita, Yasuyuki; ",Ground-glass opacities on thin-section helical CT: differentiation between bronchioloalveolar carcinoma and atypical adenomatous hyperplasia,American Journal of Roentgenology,190,5,1363-1368,2008,Am Roentgen Ray Soc
"Konishi, Masaaki; Sugiyama, Seigo; Sugamura, Koichi; Nozaki, Toshimitsu; Ohba, Keisuke; Matsubara, Junichi; Matsuzawa, Yasushi; Sumida, Hitoshi; Nagayoshi, Yasuhiro; Nakaura, Takeshi; ",Association of pericardial fat accumulation rather than abdominal obesity with coronary atherosclerotic plaque formation in patients with suspected coronary artery disease,Atherosclerosis,209,2,573-578,2010,Elsevier
"Namimoto, Tomohiro; Yamashita, Yasuyuki; Awai, Kazuo; Nakaura, Takeshi; Yanaga, Yumi; Hirai, Toshinori; Saito, Tetsuo; Katabuchi, Hidetaka; ",Combined use of T2-weighted and diffusion-weighted 3-T MR imaging for differentiating uterine sarcomas from benign leiomyomas,European radiology,19,11,2756-2764,2009,Springer-Verlag Berlin/Heidelberg
"Nakaura, Takeshi; Nakamura, Shinichi; Maruyama, Natsuki; Funama, Yoshinori; Awai, Kazuo; Harada, Kazunori; Uemura, Shouzaburou; Yamashita, Yasuyuki; ",Low contrast agent and radiation dose protocol for hepatic dynamic CT of thin adults at 256–detector row CT: effect of low tube voltage and hybrid iterative reconstruction algorithm on image quality,Radiology,264,2,445-454,2012,"Radiological Society of North America, Inc."
"Nakaura, Takeshi; Awai, Kazuo; Maruyama, Natsuki; Takata, Noboru; Yoshinaka, Ichiro; Harada, Kazunori; Uemura, Shouzaburou; Yamashita, Yasuyuki; ",Abdominal dynamic CT in patients with renal dysfunction: contrast agent dose reduction with low tube voltage and high tube current–time product settings at 256–detector row CT,Radiology,261,2,467-476,2011,"Radiological Society of North America, Inc."
"Kidoh, M; Nakaura, T; Nakamura, S; Tokuyasu, S; Osakabe, H; Harada, K; Yamashita, Y; ",Reduction of dental metallic artefacts in CT: value of a newly developed algorithm for metal artefact reduction (O-MAR),Clinical radiology,69,1,e11-e16,2014,WB Saunders
"Itatani, R; Namimoto, T; Atsuji, S; Katahira, K; Morishita, S; Kitani, K; Hamada, Y; Kitaoka, M; Nakaura, T; Yamashita, Y; ",Negative predictive value of multiparametric MRI for prostate cancer detection: outcome of 5-year follow-up in men with negative findings on initial MRI studies,European journal of radiology,83,10,1740-1745,2014,Elsevier
